"Plot Title: 5B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153866, SEN S/N: 20153866, LBL: Temp)","Intensity, Lux (LGR S/N: 20153866, SEN S/N: 20153866, LBL: Light)","Host Connected (LGR S/N: 20153866)","Coupler Attached (LGR S/N: 20153866)","Coupler Detached (LGR S/N: 20153866)","Stopped (LGR S/N: 20153866)","End Of File (LGR S/N: 20153866)"
390,09/14/19 04:00:00 PM,21.187,4994.5,,,,,
391,09/14/19 08:00:00 PM,18.045,0.0,,,,,
392,09/15/19 12:00:00 AM,14.613,0.0,,,,,
393,09/15/19 04:00:00 AM,12.110,0.0,,,,,
394,09/15/19 08:00:00 AM,10.259,484.4,,,,,
395,09/15/19 12:00:00 PM,17.855,6200.0,,,,,
396,09/15/19 04:00:00 PM,20.901,5338.9,,,,,
397,09/15/19 08:00:00 PM,16.999,0.0,,,,,
398,09/16/19 12:00:00 AM,15.378,0.0,,,,,
399,09/16/19 04:00:00 AM,13.173,0.0,,,,,
400,09/16/19 08:00:00 AM,13.461,721.2,,,,,
401,09/16/19 12:00:00 PM,20.519,6544.5,,,,,
402,09/16/19 04:00:00 PM,22.908,6544.5,,,,,
403,09/16/19 08:00:00 PM,19.187,0.0,,,,,
404,09/17/19 12:00:00 AM,16.713,0.0,,,,,
405,09/17/19 04:00:00 AM,16.332,0.0,,,,,
406,09/17/19 08:00:00 AM,16.713,355.2,,,,,
407,09/17/19 12:00:00 PM,17.665,2152.8,,,,,
408,09/17/19 04:00:00 PM,20.615,6200.0,,,,,
409,09/17/19 08:00:00 PM,16.237,0.0,,,,,
410,09/18/19 12:00:00 AM,12.690,0.0,,,,,
411,09/18/19 04:00:00 AM,10.259,0.0,,,,,
412,09/18/19 08:00:00 AM,8.779,452.1,,,,,
413,09/18/19 12:00:00 PM,16.808,6200.0,,,,,
414,09/18/19 04:00:00 PM,19.187,5511.1,,,,,
415,09/18/19 08:00:00 PM,14.613,0.0,,,,,
416,09/19/19 12:00:00 AM,10.161,0.0,,,,,
417,09/19/19 04:00:00 AM,8.879,0.0,,,,,
418,09/19/19 08:00:00 AM,11.041,236.8,,,,,
419,09/19/19 12:00:00 PM,14.230,3961.1,,,,,
420,09/19/19 04:00:00 PM,18.045,5166.7,,,,,
421,09/19/19 08:00:00 PM,13.461,0.0,,,,,
422,09/20/19 12:00:00 AM,9.866,0.0,,,,,
