"Plot Title: 6B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Temp)","Intensity, Lux (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Light)","Coupler Attached (LGR S/N: 20153867)","Host Connected (LGR S/N: 20153867)","Stopped (LGR S/N: 20153867)","End Of File (LGR S/N: 20153867)"
248,08/22/19 12:00:00 AM,19.472,0.0,,,,
249,08/22/19 04:00:00 AM,18.331,0.0,,,,
250,08/22/19 08:00:00 AM,18.236,419.8,,,,
251,08/22/19 12:00:00 PM,21.664,979.5,,,,
252,08/22/19 04:00:00 PM,23.581,3788.9,,,,
253,08/22/19 08:00:00 PM,20.043,0.0,,,,
254,08/23/19 12:00:00 AM,18.521,0.0,,,,
255,08/23/19 04:00:00 AM,18.426,0.0,,,,
256,08/23/19 08:00:00 AM,13.750,96.9,,,,
257,08/23/19 12:00:00 PM,13.942,1194.8,,,,
258,08/23/19 04:00:00 PM,15.760,1980.6,,,,
259,08/23/19 08:00:00 PM,14.613,0.0,,,,
260,08/24/19 12:00:00 AM,11.722,0.0,,,,
261,08/24/19 04:00:00 AM,9.965,0.0,,,,
262,08/24/19 08:00:00 AM,10.063,505.9,,,,
263,08/24/19 12:00:00 PM,14.709,4822.3,,,,
264,08/24/19 04:00:00 PM,16.427,2066.7,,,,
265,08/24/19 08:00:00 PM,14.230,10.8,,,,
266,08/25/19 12:00:00 AM,12.594,0.0,,,,
267,08/25/19 04:00:00 AM,8.779,0.0,,,,
268,08/25/19 08:00:00 AM,8.082,785.8,,,,
269,08/25/19 12:00:00 PM,15.091,3100.0,,,,
270,08/25/19 04:00:00 PM,16.713,3444.5,,,,
271,08/25/19 08:00:00 PM,14.230,0.0,,,,
272,08/26/19 12:00:00 AM,12.207,0.0,,,,
273,08/26/19 04:00:00 AM,13.076,0.0,,,,
274,08/26/19 08:00:00 AM,13.365,366.0,,,,
275,08/26/19 12:00:00 PM,15.855,3444.5,,,,
276,08/26/19 04:00:00 PM,16.903,1808.3,,,,
277,08/26/19 08:00:00 PM,15.855,0.0,,,,
278,08/27/19 12:00:00 AM,15.569,0.0,,,,
279,08/27/19 04:00:00 AM,14.996,0.0,,,,
280,08/27/19 08:00:00 AM,15.187,96.9,,,,
281,08/27/19 12:00:00 PM,16.618,613.5,,,,
282,08/27/19 04:00:00 PM,17.665,430.6,,,,
283,08/27/19 08:00:00 PM,18.236,0.0,,,,
284,08/28/19 12:00:00 AM,17.665,0.0,,,,
285,08/28/19 04:00:00 AM,17.475,0.0,,,,
286,08/28/19 08:00:00 AM,17.570,75.3,,,,
287,08/28/19 12:00:00 PM,18.616,1280.9,,,,
288,08/28/19 04:00:00 PM,20.043,1022.6,,,,
289,08/28/19 08:00:00 PM,16.713,0.0,,,,
290,08/29/19 12:00:00 AM,14.613,0.0,,,,
291,08/29/19 04:00:00 AM,12.497,0.0,,,,
292,08/29/19 08:00:00 AM,11.334,398.3,,,,
293,08/29/19 12:00:00 PM,17.379,4994.5,,,,
